"ID","Envir01","Envir02","Envir03","Mobil11","Mobil14","Mobil16","Mobil17","ContIncome_0_4000","ContIncome_4000_6000","ContIncome_6000_8000","ContIncome_8000_10000","ContIncome_10000_more","age_65_more","moreThanOneCar","moreThanOneBike","individualHouse","male","haveChildren","haveGA","highEducation","TimePT","TimeCar","WaitingTimePT","CostCar_HWH","CostCar_Other","CostPT_HWH","CostPT_Other","distance_km","Choice"
10350017,3,5,1,5,1,1,5,4,2,1,0,0,0,0,1,1,1,0,1,1,85,32,10,4.54,0,0,0,30,1
10350075,3,2,3,4,5,3,4,3,0,0,0,0,0,0,0,1,0,0,0,0,107,23,31,3.38,0,24,0,25,1
10350085,1,3,3,5,5,5,4,4,2,1,0,0,0,1,1,1,1,1,0,0,190,14,18,1.66,0,10.8,0,12.5,1
10350086,2,4,3,5,4,5,3,4,2,1,0,0,0,1,1,1,0,1,0,0,116,20,29,2.71,0,9.6,0,19,1
10350100,2,4,4,4,4,4,2,4,2,1,0,0,1,0,0,1,1,0,0,0,20,9,5,0,1.63,0,2.2,13,1
10350125,4,4,2,4,4,4,2,4,2,1,0,0,1,0,0,1,0,0,0,0,35,9,4,0,0.99,0,4.8,7,1
10350125,4,4,2,4,4,4,2,4,2,1,0,0,1,0,0,1,0,0,0,0,11,1,0,0,0.19,0,2.2,1,1
10350133,2,4,5,4,2,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,92,27,8,3.88,0,11,0,27,1
10350197,2,4,3,4,4,4,6,4,2,2,2,5,0,1,0,0,1,0,1,1,124,22,24,3.5,0,0,0,26,1
10350199,4,4,3,5,3,3,5,4,2,2,1,0,0,1,1,0,0,1,0,1,123,19,59,0,2.91,0,9.4,22,1
10350199,4,4,3,5,3,3,5,4,2,2,1,0,0,1,1,0,0,1,0,1,80,12,3,0,1.62,0,4.8,11,1
10350271,2,3,4,4,2,2,4,4,2,1,0,0,0,1,1,1,0,1,0,0,147,28,35,0,2.92,0,22,20,1
10350271,2,3,4,4,2,2,4,4,2,1,0,0,0,1,1,1,0,1,0,0,117,20,25,0,2.09,0,8.6,15,1
10350272,2,1,3,6,3,3,6,4,2,1,0,0,0,1,1,1,1,1,0,0,266,51,95,7.65,0,37.2,0,55,1
